,geo_value,time_value,direction,value,stderr,sample_size
278,08067,20200516,0,3.5573895875207,,
279,08069,20200516,0,3.6424870901852,,
280,08071,20200516,0,0.0,,
281,08073,20200516,0,0.0,,
282,08075,20200516,-1,8.9249854968986,,
283,08077,20200516,0,0.0,,
284,08079,20200516,0,0.0,,
285,08081,20200516,0,0.0,,
286,08083,20200516,0,3.8192720467479,,
287,08085,20200516,0,9.3549745076945,,
288,08087,20200516,0,51.603137470758,,
289,08089,20200516,0,0.0,,
290,08091,20200516,1,0.0,,
291,08093,20200516,0,0.0,,
292,08095,20200516,0,0.0,,
293,08097,20200516,1,0.0,,
294,08099,20200516,0,0.0,,
295,08101,20200516,0,4.1561772668978,,
296,08103,20200516,0,0.0,,
297,08105,20200516,0,8.8754770568918,,
298,08107,20200516,0,0.0,,
299,08109,20200516,0,0.0,,
300,08111,20200516,0,0.0,,
301,08113,20200516,0,0.0,,
302,08115,20200516,0,0.0,,
303,08117,20200516,0,12.898648866531,,
304,08119,20200516,0,0.0,,
305,08121,20200516,1,20.374898125509,,
306,08123,20200516,0,6.471654154802,,
307,08125,20200516,0,0.0,,
308,09001,20200516,0,13.886945423244,,
309,09003,20200516,1,19.400708742655,,
310,09005,20200516,0,8.8724748104895,,
311,09007,20200516,1,8.003152010638,,
312,09009,20200516,1,22.696509066319,,
313,09011,20200516,1,6.0330460095171,,
314,09013,20200516,1,35.164310215564,,
315,09015,20200516,0,2.5688890411194,,
316,10001,20200516,0,16.594205303508,,
317,10003,20200516,0,8.5905579030448,,
318,10005,20200516,0,39.705411463337,,
319,11001,20200516,0,24.229577370992,,
320,12001,20200516,0,-0.37168779711793,,
321,12003,20200516,0,0.0,,
322,12005,20200516,0,1.7171803897999,,
323,12007,20200516,0,0.0,,
324,12009,20200516,0,0.49838688777324,,
325,12011,20200516,0,3.4822186648969,,
326,12013,20200516,0,0.0,,
327,12015,20200516,0,1.5880578053041,,
328,12017,20200516,0,0.0,,
329,12019,20200516,0,2.2804809078138,,
330,12021,20200516,0,2.0784511382118,,
331,12023,20200516,0,0.0,,
332,12027,20200516,0,0.0,,
333,12029,20200516,0,0.0,,
334,12031,20200516,0,0.73087585029574,,
335,12033,20200516,0,0.0,,
336,12035,20200516,0,2.6068595163407,,
337,12037,20200516,0,0.0,,
338,12039,20200516,1,70.083223828296,,
339,12041,20200516,0,0.0,,
340,12043,20200516,0,-7.2406053146043,,
341,12045,20200516,0,0.0,,
342,12047,20200516,0,0.0,,
343,12049,20200516,0,0.0,,
344,12051,20200516,1,59.492646708867,,
345,12053,20200516,0,1.5470297029703,,
346,12055,20200516,0,0.94143342653524,,
347,12057,20200516,0,1.1549164112263,,
348,12059,20200516,0,-5.0976194117347,,
349,12061,20200516,0,0.0,,
350,12063,20200516,0,2.1545223423967,,
351,12065,20200516,0,0.0,,
352,12067,20200516,0,11.873664212776,,
353,12069,20200516,0,0.27239198295916,,
354,12071,20200516,0,2.0763661515981,,
355,12073,20200516,0,0.0,,
356,12075,20200516,0,0.0,,
357,12077,20200516,-1,0.0,,
358,12079,20200516,0,0.0,,
359,12081,20200516,0,1.9838662080629,,
360,12083,20200516,0,0.54707737588866,,
361,12085,20200516,0,1.2422360248447,,
362,12086,20200516,1,13.066170029519,,
363,12087,20200516,0,0.0,,
364,12089,20200516,0,0.0,,
365,12091,20200516,0,1.4235686017709,,
366,12093,20200516,0,2.3714665148928,,
367,12095,20200516,0,1.0046991213189,,
368,12097,20200516,0,2.1290695167811,,
369,12099,20200516,0,3.2737160686011,,
370,12101,20200516,0,0.18052268538326,,
371,12103,20200516,0,1.128209756758,,
372,12105,20200516,0,0.82784083932023,,
373,12107,20200516,0,1.3419036244817,,
374,12109,20200516,0,0.0,,
375,12111,20200516,0,0.91380670551361,,
376,12113,20200516,0,0.0,,
377,12115,20200516,0,0.46110360536909,,
378,12117,20200516,0,0.42388507627812,,
379,12119,20200516,0,0.75517293460202,,
380,12121,20200516,0,4.5027804669383,,
381,12123,20200516,0,0.0,,
382,12125,20200516,1,39.377830281551,,
383,12127,20200516,0,0.18073900564629,,
384,12129,20200516,0,0.0,,
